Signal ID,Signal Name,Component*,Description,Type,Direction,Logic,Range,I&C Cubicle,Quality,Component Destination*,Mnemonic Name,,
D1-N9-GAD0-SIG-099,55GAD0-GM-2501:CR-CCC,55GAD0-GM-2501,A60 M2 motor B-,A,I,P,0 +24V,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-100,55GAD0-GM-2502:CR-CCC,55GAD0-GM-2502,A60 M2 motor A+,A,I,P,0 +24V,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-101,55GAD0-GM-2502:CR-CCC,55GAD0-GM-2502,A60 M2 motor A-,A,I,P,0 +24V,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-102,55GAD0-GM-2502:CR-CCC,55GAD0-GM-2502,A60 M2 motor B+,A,I,P,0 +24V,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-103,55GAD0-GM-2502:CR-CCC,55GAD0-GM-2502,A60 M2 motor B-,A,I,P,0 +24V,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-104,55GAD0-MTE-2503:TE-CRC,55GAD0-MTE-2503,A60 M1 thermocouple,A,O,P,T/C Type N,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-105,55GAD0-MTE-2504:TE-CRC,55GAD0-MTE-2504,A60 M1 thermocouple,A,O,P,T/C Type N,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-106,55GAD0-MZH-2503:ZH-CRC,55GAD0-MZH-2503,A60 M1 limit switch high,D,O,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-107,55GAD0-MZL-2503:ZL-CRC,55GAD0-MZL-2503,A60 M1 limit switch low,D,O,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-108,55GAD0-MZH-2504:ZH-CRC,55GAD0-MZH-2504,A60 M1 limit switch high,D,O,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-109,55GAD0-MZL-2504:ZL-CRC,55GAD0-MZL-2504,A60 M1 limit switch low,D,O,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-110,55GAD0-GM-2503:CR-CCC,55GAD0-GM-2503,A60 M1 motor A+,A,I,P,0 +24V,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-111,55GAD0-GM-2503:CR-CCC,55GAD0-GM-2503,A60 M1 motor A-,A,I,P,0 +24V,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-112,55GAD0-GM-2503:CR-CCC,55GAD0-GM-2503,A60 M1 motor B+,A,I,P,0 +24V,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-113,55GAD0-GM-2503:CR-CCC,55GAD0-GM-2503,A60 M1 motor B-,A,I,P,0 +24V,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-114,55GAD0-GM-2504:CR-CCC,55GAD0-GM-2504,A60 M1 motor A+,A,I,P,0 +24V,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-115,55GAD0-GM-2504:CR-CCC,55GAD0-GM-2504,A60 M1 motor A-,A,I,P,0 +24V,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-116,55GAD0-GM-2504:CR-CCC,55GAD0-GM-2504,A60 M1 motor B+,A,I,P,0 +24V,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-117,55GAD0-GM-2504:CR-CCC,55GAD0-GM-2504,A60 M1 motor B-,A,I,P,0 +24V,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-118,55GAD0-MZL-4301:ZL-CRC,55GAD0-MZL-4301,Pneumatic shutter limit switch,D,O,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-119,55GAD0-MZH-4301:ZH-CRC,55GAD0-MZH-4301,Pneumatic shutter limit switch,D,O,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-120,55GAD0-MZL-4302:ZL-CRC,55GAD0-MZL-4302,Pneumatic shutter limit switch,D,O,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-121,55GAD0-MZH-4302:ZH-CRC,55GAD0-MZH-4302,Pneumatic shutter limit switch,D,O,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-122,55GAD0-MZL-4303:ZL-CRC,55GAD0-MZL-4303,Pneumatic shutter limit switch,D,O,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-123,55GAD0-MZH-4303:ZH-CRC,55GAD0-MZH-4303,Pneumatic shutter limit switch,D,O,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
